in01	in02	in03	in04	in05	in06	in07	in08	in09	in10	in11	in12	in13	in14	in15	in16	in17	Class
white	7e-4	0.05	0.04	0.05	7.1	0.32	0.3	very sweet	0.041	63	192	0.99642	3.12	0.49	med	22.31	no
white	0.0047	0.04	0.03	0.01	7.2	0.24	0.36	low	0.029	21	63	0.99076	3.13	0.63	standard	23.85	no
white	0.0089	0.04	0.04	0.05	8.3	0.22	0.38	very sweet	0.054	32	126	1.0002	3.22	0.5	low	23.5	no
red	0.06	0.77	0.41	0.45	7.6	0.3	0.42	low	0.052	6	24	0.9963	3.44	0.82	standard	44.43	no
white	0.0029	0.03	0.02	0.01	6.1	0.28	0.25	very sweet	0.044	48	161	0.9993	3.34	0.48	low	16.99	no
white	0.0011	0.09	0.02	0.01	6.4	0.26	0.4	very low	0.179	5	60	0.9925	3.09	0.54	med	25.99	no
white	0.0081	0.06	0.02	0.05	6.5	0.3	0.29	low	0.037	8	210	0.9937	3.19	0.62	low	24.38	no
white	0.0081	0.03	0.06	0.02	6.8	0.21	0.27	very sweet	0.042	41	146	1.0001	3.3	0.36	low	20.49	no
white	0.0063	0.01	0.01	0.06	7.2	0.22	0.24	very low	0.041	17	159	0.99196	3.25	0.53	med	25.58	no
white	0.0022	0.06	0.08	0.06	5.8	0.3	0.09	sweet	0.042	36	138	0.99382	3.15	0.48	low	12.2	no
white	6e-4	0.02	0.01	0.01	6	0.14	0.37	very low	0.032	63	148	0.99185	3.32	0.44	med	15.94	no
white	0.0069	0.02	0.01	0.01	7.1	0.47	0.29	very sweet	0.024	22	142	0.99518	3.12	0.48	standard	13.35	yes
white	0.0024	0.05	0.05	0.03	5.9	0.23	0.28	very sweet	0.046	37	142	0.99432	3.23	0.53	med	23.4	no
red	0.064	0.19	0.26	0.16	7	0.65	0.02	low	0.066	8	25	0.9972	3.47	0.67	low	23.51	no
red	0.05	0.43	0.25	0.16	8.9	0.12	0.45	very low	0.075	10	21	0.99552	3.41	0.76	standard	24.11	yes
white	0.0035	0.05	0.08	0.02	6.6	0.41	0.31	very low	0.042	18	101	0.99195	3.13	0.41	med	15.56	no
white	0.0045	0.09	0.05	0.05	8.2	0.29	0.49	very low	0.044	29	118	0.9928	3.24	0.36	med	12.12	no
white	0.0075	0.08	0.08	0.05	7.2	0.25	0.28	very sweet	0.055	55	205	0.9986	3.12	0.38	low	21.52	yes
white	6e-4	0.03	0.05	0.04	6	0.615	0.04	very low	0.032	8	50	0.99036	3.14	0.4	med	22.49	no
white	0.0066	0.07	0.05	0.01	6.7	0.21	0.49	very low	0.047	30	114	0.9914	2.92	0.42	med	12.03	yes
white	0.0087	0.03	0.08	0.03	6.8	0.32	0.43	very low	0.05	4	65	0.99346	3.27	0.47	med	18.77	no
white	0.0074	0.06	0.08	0.06	9.1	0.28	0.49	low	0.059	10	112	0.9958	3.15	0.46	med	23.37	no
white	0.0027	0.07	0.06	0.04	6.7	0.28	0.34	very sweet	0.048	32	111	0.99455	3.25	0.54	med	25.45	yes
red	0.04	0.55	0.64	0.23	7.8	0.64	0	very low	0.072	27	55	0.9962	3.31	0.63	med	35.14	no
white	0.0049	0.05	0.02	0.06	6.9	0.21	0.62	sweet	0.042	7	109	0.99358	2.96	0.59	med	23.36	no
red	0.045	0.33	0.64	0.4	6.8	0.66	0.07	very low	0.07	16	61	0.99572	3.29	0.6	low	30.96	no
white	0.0049	0.09	0.08	0.02	9.8	0.31	0.49	very sweet	0.046	13	119	1.0004	3.18	0.45	low	22.67	no
red	0.056	0.52	0.22	0.37	9.9	0.54	0.45	low	0.071	16	40	0.9991	3.39	0.62	low	39.21	no
white	0.0022	0.05	0.01	0.03	8.6	0.16	0.49	sweet	0.043	9	63	0.9953	3.13	0.59	med	22.95	no
white	9e-4	0.07	0.01	0.02	6.4	0.31	0.28	very low	0.037	12	119	0.9919	3.32	0.51	med	16.43	yes
white	0.0099	0.06	0.04	0.02	6.5	0.38	0.34	low	0.036	34	200	0.9937	3.14	0.76	med	18.86	no
white	0.0023	0.01	0.04	0.04	6.3	0.39	0.24	sweet	0.069	9	117	0.9942	3.15	0.35	med	25.44	no
white	0.005	0.07	0.01	0.05	7.3	0.22	0.3	very sweet	0.047	42	207	0.9966	3.33	0.46	low	20.93	no
white	9e-4	0.05	0.01	0.01	6.6	0.22	0.37	very low	0.059	45	199	0.993	3.37	0.55	med	12.79	yes
red	0.069	0.22	0.3	0.34	9.3	0.37	0.44	very low	0.038	21	42	0.99526	3.24	0.81	med	31.1	yes
red	0.059	0.8	0.52	0.2	8.6	0.55	0.09	low	0.068	8	17	0.99735	3.23	0.44	med	29.21	no
white	0.0088	0.03	0.02	0.05	7.4	0.25	0.36	low	0.05	31	100	0.992	3.19	0.44	med	15.58	no
white	0.0016	0.05	0.02	0.05	5.9	0.32	0.33	low	0.027	35	138	0.98945	3.37	0.42	standard	25.36	no
white	0.0056	0.08	0.07	0.06	6.9	0.58	0.58	very sweet	0.032	29	169	0.99275	3.28	0.44	standard	16.04	no
white	0.0054	0.08	0.03	0.04	6.4	0.24	0.29	very sweet	0.051	32	166	0.9968	3.31	0.45	low	23.98	no
white	0.0082	0.05	0.05	0.02	7.3	0.14	0.49	very low	0.038	28	99	0.9928	3.2	0.72	med	17.11	no
white	0.0053	0.03	0.04	0.02	6.6	0.26	0.46	sweet	0.047	48	186	0.9958	3.2	0.54	low	18.62	no
white	0.001	0.03	0.08	0.02	6.9	0.2	0.37	sweet	0.027	24	97	0.992	3.38	0.49	standard	19.16	yes
white	0.0084	0.01	0.04	0.04	7.1	0.36	0.56	very low	0.046	25	102	0.9923	3.24	0.33	med	16.9	no
white	6e-4	0.07	0.06	0.05	6.4	0.28	0.36	very low	0.053	28	186	0.99211	3.31	0.45	med	21.31	no
white	0.0082	0.09	0.07	0.01	8.1	0.3	0.49	very sweet	0.037	26	174	0.9943	3.1	0.3	med	29.27	yes
red	0.051	0.58	0.3	0.14	8.1	0.38	0.28	low	0.066	13	30	0.9968	3.23	0.73	low	21.33	yes
red	0.051	0.85	0.18	0.1	8.3	0.26	0.42	low	0.08	11	27	0.9974	3.21	0.8	low	13.19	no
white	2e-4	0.04	0.08	0.03	7	0.22	0.28	very low	0.037	29	115	0.9927	3.11	0.55	med	24.01	no
white	0.007	0.03	0.02	0.05	6	0.17	0.29	med	0.028	25	108	0.99076	3.14	0.34	standard	24.96	no
white	0.0027	0.1	0.03	0.04	7.6	0.2	0.34	very low	0.041	42	148	0.99335	3.35	0.66	med	22.79	no
white	0.0062	0.06	0.05	0.02	6.5	0.29	0.42	very sweet	0.042	66	202	0.99674	3.24	0.53	low	27.38	no
white	0.004	0.1	0.02	0.05	6.6	0.085	0.33	very low	0.036	17	109	0.99306	3.27	0.61	low	27.04	no
white	0.0019	0.05	0.05	0.05	7.6	0.13	0.34	very sweet	0.062	40	126	0.9966	3.21	0.39	low	29.56	no
white	0.0068	0.05	0.08	0.06	7.2	0.27	0.31	very low	0.031	27	80	0.98892	3.03	0.33	standard	23.11	no
red	0.052	0.49	0.1	0.33	9.3	0.5	0.36	very low	0.084	6	17	0.99704	3.27	0.77	med	20.55	no
red	0.067	0.2	0.32	0.4	7.1	0.43	0.42	med	0.071	28	128	0.9973	3.42	0.71	med	31.33	no
white	0.0069	0.05	0.08	0.04	6.6	0.35	0.35	sweet	0.063	31	150	0.99537	3.1	0.47	low	21.31	no
white	0.009	0.01	0.04	0.04	7.8	0.26	0.49	low	0.027	28	87	0.9919	3.03	0.32	med	26.82	yes
white	0.0044	0.05	0.06	0.02	9.2	0.27	0.34	very sweet	0.043	49	228	0.9974	3.04	0.41	med	15.46	no
red	0.038	0.35	0.45	0.11	6.9	0.36	0.25	low	0.098	5	16	0.9964	3.41	0.6	med	11.17	no
red	0.051	0.7	0.35	0.33	7.1	0.46	0.14	low	0.076	15	37	0.99624	3.36	0.49	med	18.03	no
white	0.003	0.04	0.04	0.01	6.6	0.28	0.42	very sweet	0.044	60	196	0.99562	3.14	0.48	low	14.96	no
white	0.0074	0.02	0.04	0.02	7.1	0.18	0.32	very sweet	0.048	36	125	0.9967	2.92	0.54	low	24.49	no
white	0.0074	0.06	0.01	0.01	6.5	0.17	0.31	very low	0.041	34	121	0.99092	3.06	0.46	med	18.28	no
white	0.0025	0.03	0.05	0.05	7.9	0.18	0.37	low	0.061	25	178	0.995	3.22	0.51	med	14.89	no
white	0.0058	0.1	0.08	0.01	8.2	0.28	0.42	very low	0.031	30	93	0.9917	3.09	0.39	med	28.4	no
white	0.0081	0.1	0.05	0.03	7.5	0.35	0.28	very sweet	0.051	26	157	0.9969	3.12	0.53	low	23.18	no
white	0.0079	0.02	0.03	0.03	8.3	0.36	0.57	very sweet	0.052	35	256	1.0001	2.93	0.64	low	24.13	no
white	6e-4	0.03	0.05	0.02	6.4	0.3	0.3	low	0.038	8	210	0.9937	3.2	0.62	low	29.52	no
white	0.0086	0.08	0.04	0.04	6.6	0.325	0.49	sweet	0.049	53	217	0.996	3.16	0.4	low	28.62	no
white	0.0057	0.03	0.08	0.04	6.6	0.24	0.3	very sweet	0.052	18	143	0.99825	3.37	0.49	low	25.73	no
white	0.0035	0.01	0.07	0.06	5.8	0.385	0.25	low	0.031	38	122	0.99128	3.2	0.63	med	21.47	no
red	0.064	0.43	0.44	0.12	6.9	0.685	0	low	0.105	22	37	0.9966	3.46	0.57	med	23.44	no
red	0.037	0.83	0.12	0.41	7.7	0.965	0.1	low	0.112	11	22	0.9963	3.26	0.5	low	31.8	no
white	0.0031	0.05	0.01	0.03	6.8	0.21	0.74	very low	0.047	25	111	0.9916	3.13	0.41	med	23.65	no
white	0.0063	0.04	0.07	0.06	8	0.2	0.36	very low	0.032	21	78	0.9921	3.08	0.37	med	16.23	no
white	6e-4	0.09	0.08	0.06	5.6	0.175	0.29	very low	0.043	20	67	0.99112	3.28	0.48	low	19.15	no
white	0.0099	0.03	0.01	0.05	6.4	0.21	0.28	med	0.047	29	101	0.99278	3.15	0.4	med	15.27	no
white	0.0062	0.07	0.03	0.05	7.3	0.34	0.3	very low	0.057	25	173	0.9948	3.26	0.51	low	14.61	no
white	0.0028	0.08	0.03	0.02	8.5	0.25	0.27	med	0.031	31	92	0.9922	3.01	0.33	standard	26.92	no
white	0.0048	0.02	0.07	0.02	7.8	0.28	0.25	low	0.024	27	99	0.98959	2.98	0.37	standard	17.88	no
white	0.0052	0.07	0.02	0.06	6.7	0.13	0.57	sweet	0.056	60	150	0.99548	2.96	0.43	low	25.97	no
white	0.0015	0.08	0.06	0.04	5.9	0.32	0.19	very sweet	0.042	37	115	0.99684	3.16	0.43	med	23.91	no
white	0.0015	0.09	0.01	0.01	8	0.29	0.49	very sweet	0.035	40	131	0.9958	3.14	0.34	med	15.56	no
red	0.059	0.79	0.15	0.25	9.7	0.66	0.34	low	0.094	12	88	0.99796	3.26	0.66	med	22.4	no
white	0.0071	0.04	0.06	0.06	7.5	0.28	0.33	sweet	0.048	42	180	0.9974	3.37	0.59	med	17.62	no
red	0.052	0.79	0.26	0.17	8.1	0.78	0.23	low	0.059	5	15	0.997	3.37	0.56	med	27.17	no
white	0.0068	0.07	0.08	0.05	6.8	0.31	0.42	sweet	0.046	50	173	0.9958	3.19	0.46	low	15.44	no
white	0.0049	0.04	0.04	0.03	6.8	0.22	0.35	med	0.043	21	114	0.9938	3.3	0.53	med	14.47	yes
white	0.0058	0.07	0.03	0.03	6	0.34	0.29	sweet	0.046	29	134	0.99462	3.48	0.57	med	17.43	no
red	0.045	0.76	0.44	0.16	9.5	0.37	0.52	low	0.082	6	26	0.998	3.18	0.51	low	23.19	no
red	0.069	0.43	0.35	0.43	7.2	0.33	0.33	very low	0.061	3	13	0.996	3.23	1.1	med	18.24	yes
white	0.0015	0.06	0.06	0.06	5.3	0.4	0.25	low	0.031	45	130	0.99072	3.31	0.58	standard	27.87	yes
red	0.052	0.81	0.45	0.28	10.3	0.53	0.48	low	0.063	6	25	0.9998	3.12	0.59	low	29.52	no
white	0.0082	0.01	0.05	0.02	6.3	0.21	0.28	very low	0.051	46	142	0.9928	3.23	0.42	med	24.8	no
white	5e-4	0.01	0.03	0.05	6.6	0.16	0.32	very low	0.035	49	186	0.9906	3.35	0.64	standard	27.51	yes
red	0.061	0.41	0.27	0.28	10.4	0.61	0.49	low	0.2	5	16	0.9994	3.16	0.63	low	21.06	no
red	0.04	0.17	0.31	0.14	13.4	0.27	0.62	low	0.082	6	21	1.0002	3.16	0.67	low	30.59	no
white	0.0011	0.05	0.03	0.04	5.8	0.3	0.38	med	0.039	22	86	0.98963	3.23	0.58	standard	19.47	yes
white	0.0071	0.06	0.07	0.03	6.4	0.18	0.35	very low	0.045	39	108	0.9911	3.31	0.35	med	22.35	no
white	0.0065	0.04	0.04	0.01	6.9	0.2	0.34	very low	0.043	25	136	0.9935	3.31	0.6	med	23.95	no
white	0.0032	0.08	0.06	0.05	6.6	0.23	0.3	med	0.06	29	154	0.99142	3.23	0.49	standard	23.77	yes
white	0.0053	0.08	0.01	0.01	7	0.44	0.24	very sweet	0.056	68	210	0.99718	3.05	0.5	low	25.21	no
red	0.054	0.11	0.19	0.4	7.6	1.58	0	low	0.137	5	9	0.99476	3.5	0.4	med	32.56	no
white	0.0096	0.06	0.07	0.04	5.3	0.32	0.23	very sweet	0.026	26	119	0.99168	3.18	0.53	standard	23.34	no
red	0.038	0.31	0.49	0.33	7.9	0.54	0.34	low	0.076	8	17	0.99235	3.2	0.72	standard	35.8	yes
white	0.0034	0.01	0.04	0.03	7.1	0.27	0.27	very sweet	0.041	26	114	0.99335	3.04	0.52	standard	16.1	yes
red	0.06	0.41	0.6	0.1	10.8	0.5	0.46	low	0.073	5	27	1.0001	3.05	0.64	low	36.69	no
white	0.0093	0.06	0.05	0.04	6.7	0.13	0.28	very low	0.046	35	140	0.9927	3.33	0.33	med	22.91	yes
white	8e-4	0.03	0.01	0.06	9	0.55	0.3	very sweet	0.026	14	71	0.993	2.94	0.36	standard	13.39	no
white	0.0078	0.06	0.03	0.03	7.1	0.4	0.52	very low	0.148	45	149	0.99468	3.08	0.56	low	14.06	no
white	0.0019	0.05	0.01	0.01	5.8	0.42	0.3	low	0.035	26	129	0.989	3.32	0.47	standard	12.87	no
white	0.0047	0.01	0.05	0.05	9	0.26	0.34	sweet	0.029	21	162	0.99497	3.08	0.5	med	21.76	no
red	0.055	0.69	0.54	0.23	7.4	0.25	0.29	low	0.054	19	49	0.99666	3.4	0.76	med	49.37	yes
red	0.045	0.1	0.56	0.38	6.9	0.63	0.02	very low	0.078	18	30	0.99712	3.4	0.75	low	38.44	no
red	0.036	0.26	0.22	0.31	9.9	0.53	0.57	low	0.093	30	52	0.9971	3.19	0.76	standard	38.14	yes
white	6e-4	0.07	0.06	0.06	6.8	0.18	0.3	very sweet	0.062	19	171	0.99808	3	0.52	low	18.88	yes
white	0.0088	0.08	0.03	0.04	5.1	0.33	0.22	very low	0.027	18	89	0.9893	3.51	0.38	standard	26.97	yes
white	0.0011	0.04	0.08	0.01	7.1	0.14	0.4	very low	0.051	55	136	0.9932	3.3	0.96	low	17.1	yes
white	0.0017	0.08	0.03	0.02	6.7	0.16	0.49	low	0.046	57	187	0.9952	3.62	0.81	med	27.13	no
red	0.062	0.26	0.51	0.3	8	0.43	0.36	low	0.075	10	48	0.9976	3.34	0.46	low	28.98	no
white	7e-4	0.09	0.08	0.04	9.4	0.26	0.53	very low	0.047	25	109	0.9921	3.23	0.28	standard	16.91	no
white	0.0028	0.04	0.01	0.04	7.4	0.19	0.3	very sweet	0.053	48	229	0.9986	3.14	0.49	low	18.67	yes
white	0.0099	0.03	0.07	0.01	7	0.2	0.34	med	0.035	32	83	0.9928	3.19	0.46	standard	13.43	no
white	0.0094	0.05	0.08	0.05	7.8	0.21	0.39	very low	0.034	62	180	0.991	3.09	0.75	standard	13.62	yes
red	0.062	0.22	0.14	0.18	6.6	0.5	0.01	very low	0.06	17	26	0.9952	3.4	0.58	low	18.3	no
white	0.007	0.04	0.01	0.05	7.9	0.37	0.31	low	0.037	5	24	0.9911	3.19	0.36	standard	23.31	no
white	0.0037	0.02	0.04	0.05	5.7	0.29	0.16	sweet	0.044	48	197	0.99512	3.21	0.36	low	19.85	no
red	0.045	0.49	0.1	0.16	8.2	0.28	0.4	low	0.052	4	10	0.99356	3.33	0.7	standard	18.37	yes
white	0.0077	0.03	0.05	0.06	6.2	0.35	0.31	low	0.036	37	92	0.98938	3.27	0.53	standard	29.13	yes
white	0.0098	0.06	0.02	0.03	6.2	0.21	0.27	very low	0.038	41	150	0.9933	3.49	0.71	med	16.57	yes
white	0.0095	0.09	0.02	0.04	6.8	0.37	0.28	very low	0.024	64	106	0.98993	3.45	0.6	standard	16.92	yes
white	0.004	0.03	0.01	0.06	6.7	0.3	0.49	med	0.034	36	158	0.9945	3.12	0.45	low	17.17	no
white	0.0012	0.02	0.03	0.02	6	0.39	0.26	low	0.038	39	187	0.99325	3.41	0.5	med	13.19	no
white	0.005	0.04	0.03	0.01	7	0.12	0.28	sweet	0.057	17	103	0.9957	3.5	0.44	low	12.1	no
red	0.042	0.45	0.49	0.28	6.9	0.765	0.02	low	0.063	35	63	0.9975	3.57	0.78	low	41.3	no
red	0.046	0.27	0.44	0.24	7	0.58	0.12	very low	0.091	34	124	0.9956	3.44	0.48	med	25.99	no
white	0.0084	0.02	0.02	0.03	6.5	0.25	0.45	sweet	0.048	52	188	0.99576	3.2	0.53	low	16.7	no
white	0.0066	0.09	0.07	0.02	6.2	0.3	0.32	very low	0.054	27	183	0.99266	3.3	0.43	med	24.9	no
white	0.0097	0.06	0.07	0.04	6.6	0.41	0.27	very sweet	0.11	20	103	0.99672	3.08	0.41	low	16.24	no
red	0.058	0.21	0.38	0.2	9.9	0.54	0.26	low	0.111	7	60	0.99709	2.94	0.98	med	37.37	no
white	0.0011	0.04	0.08	0.03	7.4	0.34	0.3	very sweet	0.037	70	169	0.99698	3.25	0.37	med	29.36	no
white	0.0076	0.09	0.06	0.02	9	0.2	0.33	low	0.049	10	40	0.9944	3.14	0.36	low	28.19	no
white	0.0018	0.1	0.04	0.06	6.7	0.18	0.28	very sweet	0.039	29	115	0.99469	3.11	0.45	med	23.94	yes
white	0.0068	0.02	0.03	0.03	7.2	0.26	0.32	very sweet	0.062	23	114	0.9966	3.23	0.49	med	25.52	no
red	0.04	0.38	0.56	0.23	7.9	0.545	0.06	med	0.087	27	61	0.9965	3.36	0.67	med	14.94	no
white	0.0054	0.01	0.07	0.03	6.9	0.24	0.4	very sweet	0.052	81	198	0.9986	3.2	0.69	low	17.09	no
red	0.04	0.29	0.6	0.41	7.2	0.36	0.46	low	0.074	24	44	0.99534	3.4	0.85	med	20.26	yes
white	0.002	0.05	0.05	0.05	6.2	0.16	0.54	very low	0.126	37	110	0.9932	3.23	0.37	low	18.44	no
white	0.0084	0.03	0.04	0.05	7.7	0.39	0.3	med	0.037	29	131	0.9943	3.38	0.44	med	27.76	no
white	0.0068	0.1	0.01	0.03	8.5	0.23	0.28	very sweet	0.033	30	97	0.99507	3.03	0.39	med	29.99	yes
white	9e-4	0.01	0.06	0.05	6.8	0.18	0.35	med	0.054	53	143	0.99287	3.1	0.54	med	14.87	yes
white	0.0066	0.06	0.03	0.03	8.4	0.3	0.25	very sweet	0.047	25	218	1.00016	2.98	0.66	low	25.81	no
white	0.0052	0.02	0.08	0.01	7.3	0.36	0.34	very sweet	0.057	46	173	0.99751	3.14	0.57	med	20.93	no
white	0.0081	0.02	0.08	0.04	6.7	0.21	0.34	very low	0.035	45	123	0.98949	3.24	0.36	standard	16.66	yes
red	0.066	0.82	0.51	0.21	9.3	0.775	0.27	low	0.078	24	56	0.9984	3.31	0.67	med	34.87	no
red	0.044	0.68	0.57	0.44	6.8	0.51	0.01	low	0.074	9	25	0.9958	3.33	0.56	low	49.8	no
red	0.066	0.2	0.19	0.43	9.7	0.55	0.17	low	0.087	20	53	1.0004	3.14	0.61	low	19.89	no
red	0.06	0.23	0.46	0.34	9.8	0.37	0.39	low	0.079	28	65	0.99729	3.16	0.59	low	31.09	no
white	0.0043	0.03	0.05	0.02	6.8	0.26	0.34	very sweet	0.034	39	134	0.9949	3.33	0.53	standard	13.52	no
white	0.0097	0.07	0.03	0.03	7.5	0.26	0.26	very sweet	0.084	33	139	1.0011	3.17	0.39	low	16.62	no
white	0.0091	0.02	0.07	0.02	7.3	0.2	0.29	very sweet	0.039	69	237	1.00037	3.1	0.48	low	23.8	no
white	0.0064	0.03	0.02	0.05	6.8	0.25	0.29	low	0.042	19	189	0.9952	3.46	0.54	med	16.94	no
white	0.0076	0.09	0.02	0.01	6.8	0.46	0.26	sweet	0.147	49	159	0.99434	3.14	0.47	med	15.3	no
white	0.0034	0.04	0.06	0.01	7.4	0.2	0.35	low	0.038	30	116	0.9949	3.49	0.77	med	24.92	yes
white	0.0085	0.09	0.03	0.04	6.9	0.23	0.41	very sweet	0.03	30	114	0.99368	3.22	0.54	med	17.24	no
white	0.0047	0.01	0.07	0.06	6.8	0.13	0.39	very low	0.034	19	102	0.99121	3.23	0.6	med	21.29	yes
white	0.0048	0.07	0.08	0.02	9.4	0.29	0.55	low	0.05	17	119	0.9962	3.12	0.69	med	14.26	no
white	0.0039	0.06	0.07	0.05	6.1	0.35	0.07	very low	0.069	22	108	0.9934	3.23	0.52	low	19.04	no
white	0.0016	0.06	0.04	0.06	7	0.36	0.35	low	0.048	67	161	0.99146	3.05	0.56	med	18.35	no
red	0.052	0.38	0.3	0.11	11.9	0.58	0.58	very low	0.071	5	18	0.998	3.09	0.63	med	19.48	no
red	0.054	0.48	0.17	0.26	5.9	0.19	0.21	very low	0.045	57	135	0.99341	3.32	0.44	low	27.03	no
white	0.0041	0.06	0.03	0.05	6.3	0.27	0.18	sweet	0.048	45	186	0.9962	3.23	0.47	low	14.8	no
white	0.004	0.06	0.03	0.04	6.9	0.38	0.29	very sweet	0.048	52	189	0.99784	3	0.6	low	27.77	no
white	0.0074	0.01	0.03	0.03	6.3	0.39	0.22	low	0.048	53	173	0.99304	3.24	0.45	low	26.53	no
white	0.0044	0.08	0.06	0.01	6.4	0.23	0.35	very sweet	0.042	54	140	0.9967	3.23	0.47	low	23.57	no
white	0.0092	0.02	0.08	0.01	7.9	0.27	0.27	very low	0.034	25	122	0.99088	2.97	0.51	standard	12.81	no
white	0.0038	0.02	0.04	0.05	7.3	0.18	0.31	very sweet	0.055	32	197	1.0002	3.13	0.46	low	19.44	no
red	0.042	0.78	0.36	0.11	8.3	0.34	0.4	low	0.065	24	48	0.99554	3.34	0.86	med	20.99	no
white	0.0056	0.08	0.07	0.06	8.1	0.2	0.3	very low	0.036	7	49	0.99242	2.99	0.73	med	22.54	no
white	0.0051	0.1	0.06	0.05	6.4	0.4	0.19	low	0.033	28	124	0.9904	3.22	0.54	standard	16.46	yes
white	0.0043	0.08	0.07	0.02	6	0.31	0.32	sweet	0.175	47	159	0.9952	3.19	0.5	low	19.81	no
red	0.062	0.63	0.12	0.31	7.9	0.4	0.29	very low	0.157	1	44	0.9973	3.3	0.92	low	31.19	no
white	0.0027	0.01	0.01	0.04	5.9	0.24	0.3	low	0.033	28	92	0.99225	3.39	0.69	med	21.06	yes
white	0.0056	0.04	0.07	0.06	10	0.91	0.42	very low	0.056	34	181	0.9968	3.11	0.46	med	20.66	no
white	0.0015	0.02	0.05	0.01	6.2	0.2	0.49	very low	0.065	17	143	0.9937	3.22	0.52	low	14.09	no
red	0.06	0.56	0.15	0.22	8.2	0.44	0.24	low	0.063	10	28	0.99613	3.25	0.53	med	15.15	no
white	0.009	0.05	0.04	0.03	7.5	0.27	0.79	very sweet	0.04	51	159	0.99839	2.98	0.44	low	22.66	no
white	0.0061	0.05	0.06	0.01	7.4	0.19	0.31	very sweet	0.045	39	193	0.9986	3.1	0.5	low	12.59	no
white	0.0063	0.1	0.01	0.02	6.3	0.22	0.22	med	0.039	31	128	0.99296	3.12	0.46	med	15.66	no
red	0.066	0.74	0.29	0.34	13.7	0.415	0.68	low	0.085	17	43	1.0014	3.06	0.8	med	26.89	no
red	0.059	0.12	0.55	0.41	7.2	0.58	0.54	low	0.114	3	9	0.99719	3.33	0.57	med	24.91	no
white	0.0071	0.05	0.08	0.05	6.1	0.41	0.2	very sweet	0.032	54	136	0.99516	2.91	0.43	med	19.94	no
white	0.0094	0.07	0.03	0.04	7.3	0.21	0.49	very low	0.038	44	152	0.9912	3.32	0.44	standard	13.14	yes
red	0.043	0.15	0.49	0.28	8.9	0.12	0.45	very low	0.075	10	21	0.99552	3.41	0.76	standard	48.41	yes
white	0.0087	0.03	0.03	0.02	6.7	0.25	0.74	very sweet	0.054	44	169	1.0004	3.51	0.45	low	27.47	no
white	0.0042	0.01	0.04	0.04	6.4	0.125	0.36	very low	0.044	22	68	0.99014	3.15	0.5	standard	13.67	yes
white	2e-4	0.02	0.04	0.06	8.2	0.61	0.45	med	0.03	15	118	0.9954	3.14	0.34	low	28.75	no
white	0.0011	0.06	0.08	0.01	6.7	0.23	0.33	very low	0.036	23	96	0.9925	3.32	0.4	med	22.91	no
white	0.0021	0.1	0.01	0.03	7.2	0.23	0.39	very sweet	0.058	49	192	0.9979	2.98	0.48	low	20.28	yes
white	0.0082	0.03	0.04	0.01	7.1	0.17	0.31	very low	0.037	15	103	0.991	3.14	0.5	standard	28.87	no
white	0.0073	0.08	0.03	0.04	6.6	0.21	0.6	very low	0.135	61	144	0.9927	3.12	0.39	low	29.39	yes
white	0.0099	0.07	0.06	0.05	7.8	0.18	0.31	very sweet	0.053	46	140	0.998	3.06	0.53	low	25.9	no
white	0.007	0.02	0.07	0.03	6.7	0.19	0.23	sweet	0.047	36	117	0.9945	3.34	0.43	low	21.91	no
red	0.068	0.16	0.19	0.3	14.3	0.31	0.74	very low	0.075	6	15	1.0008	2.86	0.79	low	19.35	no
white	0.0086	0.08	0.07	0.05	6.8	0.18	0.46	very low	0.064	37	160	0.9924	3.37	0.45	med	15.59	no
white	0.0076	0.02	0.04	0.01	5.4	0.375	0.4	low	0.054	29	147	0.99482	3.42	0.52	low	26.67	no
white	0.0075	0.05	0.05	0.03	7	0.39	0.31	med	0.169	32	162	0.9965	3.2	0.48	low	16.78	no
white	7e-4	0.09	0.05	0.03	7.2	0.36	0.36	med	0.038	26	98	0.9914	2.93	0.59	standard	13.53	yes
white	0.0032	0.01	0.07	0.06	7.3	0.29	0.29	med	0.029	27	155	0.9931	3.07	0.26	med	20.72	no
white	0.0035	0.07	0.04	0.01	6.4	0.33	0.31	med	0.048	42	173	0.9951	3.19	0.66	low	19.68	no
white	5e-4	0.05	0.08	0.06	6.1	0.25	0.49	sweet	0.052	67	226	0.9956	3.16	0.47	low	17.09	no
white	0.0059	0.06	0.07	0.06	7	0.28	0.28	very low	0.039	12	83	0.99173	3.18	0.65	med	16.71	no
white	0.0053	0.08	0.03	0.01	7.4	0.26	0.37	very sweet	0.047	42	147	0.9982	3.46	0.72	med	19.76	no
red	0.04	0.62	0.4	0.29	9.8	0.66	0.39	low	0.083	21	59	0.9989	3.37	0.71	standard	26.72	yes
white	0.0057	0.05	0.01	0.01	7.2	0.23	0.32	very sweet	0.058	47	186	0.9956	3.19	0.4	low	28.92	no
white	0.0071	0.1	0.08	0.03	6.4	0.1	0.35	med	0.048	31	103	0.9947	3.43	0.79	low	27.61	no
white	0.0067	0.01	0.08	0.01	7.7	0.28	0.39	very sweet	0.036	8	117	0.9935	3.06	0.38	standard	19.7	yes
white	0.009	0.03	0.02	0.03	6.8	0.21	0.37	sweet	0.038	27	107	0.99206	2.98	0.82	standard	13.57	no
white	0.0073	0.09	0.04	0.05	7	0.29	0.49	low	0.047	37	136	0.9938	2.95	0.4	low	29.76	no
